Assessments
6/15/2022

Year,Division,School,Level,Subgroup,"Test Level","Subject Area",Subject,"Percent Pass","Percent Proficiency",Advance,Fail,"Record Count"
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,3,MATH,"Grade 3 Mathematics",35,35,-,65,17
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",28,28,-,72,57
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",3,MATH,"Grade 3 Mathematics",16,16,-,84,49
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,3,MATH,"Grade 3 Mathematics",36,36,-,64,45
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,3,MATH,"Grade 3 Mathematics",28,28,-,72,43
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,3,MATH,"Grade 3 Mathematics",38,38,-,62,47
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",51,51,-,49,35
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",3,MATH,"Grade 3 Mathematics",7,7,-,93,15
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",3,MATH,"Grade 3 Mathematics",43,43,-,57,77
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,3,MATH,"Grade 3 Mathematics",57,57,-,43,21
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",4,MATH,"Grade 4 Mathematics",30,27,2,70,84
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,4,MATH,"Grade 4 Mathematics",53,47,6,47,17
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",27,25,2,73,55
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",4,MATH,"Grade 4 Mathematics",12,12,-,88,43
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,4,MATH,"Grade 4 Mathematics",16,14,2,84,43
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,4,MATH,"Grade 4 Mathematics",15,15,-,85,47
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,4,MATH,"Grade 4 Mathematics",44,41,2,56,41
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",4,MATH,"Grade 4 Mathematics",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",34,31,3,66,29
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",4,MATH,"Grade 4 Mathematics",18,18,-,82,11
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",4,MATH,"Grade 4 Mathematics",32,29,3,68,73
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,4,MATH,"Grade 4 Mathematics",50,42,8,50,12
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",5,MATH,"Grade 5 Mathematics",42,37,5,58,83
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,5,MATH,"Grade 5 Mathematics",67,54,13,33,24
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",29,27,2,71,56
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",5,MATH,"Grade 5 Mathematics",11,11,-,89,28
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,5,MATH,"Grade 5 Mathematics",41,35,6,59,34
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,5,MATH,"Grade 5 Mathematics",16,16,-,84,38
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,5,MATH,"Grade 5 Mathematics",43,39,4,57,49
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",5,MATH,"Grade 5 Mathematics",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",70,59,11,30,27
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",5,MATH,"Grade 5 Mathematics",43,38,5,57,79
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,5,MATH,"Grade 5 Mathematics",63,56,6,38,16
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",,MATH,Mathematics,36,34,2,64,259
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,,MATH,Mathematics,53,47,7,47,58
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,,MATH,Mathematics,42,42,-,58,19
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",,MATH,Mathematics,28,27,1,72,168
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",,MATH,Mathematics,13,13,-,87,120
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,,MATH,Mathematics,30,28,2,70,122
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,,MATH,Mathematics,20,20,-,80,128
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,,MATH,Mathematics,9,9,-,91,22
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,,MATH,Mathematics,42,39,2,58,137
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",,MATH,Mathematics,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",,MATH,Mathematics,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",,MATH,Mathematics,52,47,4,48,91
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",,MATH,Mathematics,13,13,-,87,30
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",,MATH,Mathematics,39,37,3,61,229
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,,MATH,Mathematics,57,53,4,43,49
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",5,SCI,"Grade 5 Science",34,29,5,66,83
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,5,SCI,"Grade 5 Science",46,33,13,54,24
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,5,SCI,"Grade 5 Science",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",5,SCI,"Grade 5 Science",18,18,-,82,56
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",5,SCI,"Grade 5 Science",7,7,-,93,28
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,5,SCI,"Grade 5 Science",18,12,6,82,34
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,5,SCI,"Grade 5 Science",16,16,-,84,38
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,5,SCI,"Grade 5 Science",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,5,SCI,"Grade 5 Science",45,41,4,55,49
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",5,SCI,"Grade 5 Science",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",5,SCI,"Grade 5 Science",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",5,SCI,"Grade 5 Science",67,52,15,33,27
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",5,SCI,"Grade 5 Science",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",5,SCI,"Grade 5 Science",35,30,5,65,79
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,5,SCI,"Grade 5 Science",50,44,6,50,16
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",,SCI,Science,34,29,5,66,83
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,,SCI,Science,46,33,13,54,24
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,,SCI,Science,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",,SCI,Science,18,18,-,82,56
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",,SCI,Science,7,7,-,93,28
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,,SCI,Science,18,12,6,82,34
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,,SCI,Science,16,16,-,84,38
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,,SCI,Science,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,,SCI,Science,45,41,4,55,49
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",,SCI,Science,100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",,SCI,Science,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",,SCI,Science,67,52,15,33,27
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",,SCI,Science,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",,SCI,Science,35,30,5,65,79
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,,SCI,Science,50,44,6,50,16
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",,ENGR,"English Reading",38,37,1,62,223
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",,ENGR,"English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,,ENGR,"English Reading",50,50,-,50,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,,ENGR,"English Reading",80,80,-,20,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",,ENGR,"English Reading",34,33,1,66,196
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",,ENGR,"English Reading",17,17,-,83,139
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,,ENGR,"English Reading",39,37,2,61,105
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,,ENGR,"English Reading",32,32,1,68,188
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,,ENGR,"English Reading",24,24,-,76,49
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,,ENGR,"English Reading",36,36,-,64,118
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",,ENGR,"English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Multiple Races",,ENGR,"English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",,ENGR,"English Reading",63,63,-,37,27
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",,ENGR,"English Reading",39,39,-,61,31
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",,ENGR,"English Reading",38,36,1,63,192
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,,ENGR,"English Reading",64,55,9,36,11
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",3,ENGR,"Grade 3 English Reading",31,31,-,69,81
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",24,24,-,76,70
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",3,ENGR,"Grade 3 English Reading",13,13,-,87,60
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,3,ENGR,"Grade 3 English Reading",32,32,-,68,38
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,3,ENGR,"Grade 3 English Reading",22,22,-,78,68
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,3,ENGR,"Grade 3 English Reading",12,12,-,88,17
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,3,ENGR,"Grade 3 English Reading",30,30,-,70,43
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Multiple Races",3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",73,73,-,27,11
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",3,ENGR,"Grade 3 English Reading",17,17,-,83,12
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",3,ENGR,"Grade 3 English Reading",33,33,-,67,69
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",4,ENGR,"Grade 4 English Reading",41,39,1,59,79
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,4,ENGR,"Grade 4 English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",38,36,1,62,69
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",4,ENGR,"Grade 4 English Reading",21,21,-,79,53
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,4,ENGR,"Grade 4 English Reading",43,40,3,57,35
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,4,ENGR,"Grade 4 English Reading",37,37,-,63,65
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,4,ENGR,"Grade 4 English Reading",25,25,-,75,16
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,4,ENGR,"Grade 4 English Reading",39,39,-,61,44
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",60,60,-,40,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",4,ENGR,"Grade 4 English Reading",50,50,-,50,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",4,ENGR,"Grade 4 English Reading",39,38,1,61,69
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",5,ENGR,"Grade 5 English Reading",43,41,2,57,63
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",5,ENGR,"Grade 5 English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",42,40,2,58,57
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",5,ENGR,"Grade 5 English Reading",15,15,-,85,26
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,5,ENGR,"Grade 5 English Reading",44,41,3,56,32
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,5,ENGR,"Grade 5 English Reading",40,38,2,60,55
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,5,ENGR,"Grade 5 English Reading",38,38,-,63,16
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,5,ENGR,"Grade 5 English Reading",42,42,-,58,31
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",5,ENGR,"Grade 5 English Reading",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",5,ENGR,"Grade 5 English Reading",41,39,2,59,54
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",3,MATH,"Grade 3 Mathematics",24,24,-,76,80
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",19,19,-,81,69
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",3,MATH,"Grade 3 Mathematics",12,12,-,88,60
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,3,MATH,"Grade 3 Mathematics",22,22,-,78,36
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,3,MATH,"Grade 3 Mathematics",16,16,-,84,67
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,3,MATH,"Grade 3 Mathematics",6,6,-,94,18
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,3,MATH,"Grade 3 Mathematics",25,25,-,75,44
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Multiple Races",3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",55,55,-,45,11
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",3,MATH,"Grade 3 Mathematics",17,17,-,83,12
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",3,MATH,"Grade 3 Mathematics",25,25,-,75,68
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",4,MATH,"Grade 4 Mathematics",31,30,1,69,80
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",29,28,1,71,69
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",4,MATH,"Grade 4 Mathematics",17,17,-,83,54
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,4,MATH,"Grade 4 Mathematics",26,26,-,74,35
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,4,MATH,"Grade 4 Mathematics",29,27,2,71,66
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,4,MATH,"Grade 4 Mathematics",19,19,-,81,16
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,4,MATH,"Grade 4 Mathematics",36,33,2,64,45
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",45,45,-,55,11
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",4,MATH,"Grade 4 Mathematics",30,30,-,70,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",4,MATH,"Grade 4 Mathematics",31,30,1,69,70
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",5,MATH,"Grade 5 Mathematics",29,29,-,71,62
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",25,25,-,75,55
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",5,MATH,"Grade 5 Mathematics",8,8,-,92,26
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,5,MATH,"Grade 5 Mathematics",19,19,-,81,31
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,5,MATH,"Grade 5 Mathematics",26,26,-,74,54
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,5,MATH,"Grade 5 Mathematics",19,19,-,81,16
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,5,MATH,"Grade 5 Mathematics",39,39,-,61,31
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",5,MATH,"Grade 5 Mathematics",100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",5,MATH,"Grade 5 Mathematics",28,28,-,72,54
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,White,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",,MATH,Mathematics,28,27,-,72,222
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",,MATH,Mathematics,<,<,<,<,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,,MATH,Mathematics,30,30,-,70,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Black,,MATH,Mathematics,60,60,-,40,10
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",,MATH,Mathematics,24,24,1,76,193
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",,MATH,Mathematics,13,13,-,87,140
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Female,,MATH,Mathematics,23,23,-,77,102
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,,MATH,Mathematics,24,23,1,76,187
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,,MATH,Mathematics,14,14,-,86,50
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,Male,,MATH,Mathematics,33,32,1,68,120
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",,MATH,Mathematics,100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Multiple Races",,MATH,Mathematics,100,<,<,0,0
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",,MATH,Mathematics,52,52,-,48,29
